state,action,action_name,policy_prob,empirical_prob,abs_diff
74,3,Right,0.09487693119493427,0.0934,0.0014769311949342778
75,0,Up,0.09389651767255618,0.0933,0.0005965176725561822
75,1,Down,0.33262590491274696,0.3181,0.014525904912746967
75,2,Left,0.38742278453093604,0.3951,0.007677215469063969
75,3,Right,0.18605479288376095,0.1935,0.007445207116239055
76,0,Up,0.23337955882607087,0.2375,0.004120441173929124
76,1,Down,0.1547692419520889,0.1536,0.001169241952088923
76,2,Left,0.4538207595034728,0.4491,0.004720759503472782
76,3,Right,0.15803043971836753,0.1598,0.0017695602816324707
77,0,Up,0.0,0.0,0.0
77,1,Down,0.15560676303449716,0.1574,0.001793236965502848
77,2,Left,0.14592424700603024,0.1463,0.0003757529939697746
77,3,Right,0.6984689899594726,0.6963,0.002168989959472567
78,0,Up,0.4831102926230126,0.479,0.004110292623012601
78,1,Down,0.21486879107534798,0.2143,0.0005687910753479908
78,2,Left,0.2686918892325133,0.2703,0.0016081107674866812
78,3,Right,0.033329027069126105,0.0364,0.003070972930873897
79,0,Up,0.15317751770453328,0.1522,0.0009775177045332761
79,1,Down,0.430511227948137,0.4229,0.0076112279481370115
79,2,Left,0.3380821820418588,0.3455,0.007417817958141171
79,3,Right,0.07822907230547074,0.0794,0.0011709276945292557
80,0,Up,0.0,0.0,0.0
80,1,Down,0.033323020452932554,0.0317,0.0016230204529325554
80,2,Left,0.9666769795470675,0.9683,0.0016230204529324999
80,3,Right,0.0,0.0,0.0
81,0,Up,1.0,1.0,0.0
81,1,Down,0.0,0.0,0.0
81,2,Left,0.0,0.0,0.0
81,3,Right,0.0,0.0,0.0
82,0,Up,0.7445926807638227,0.7433,0.0012926807638227178
82,1,Down,0.09479922402860111,0.0945,0.0002992240286011083
82,2,Left,0.0,0.0,0.0
82,3,Right,0.1606080952075763,0.1622,0.001591904792423715
83,0,Up,0.1614001209151841,0.1617,0.0002998790848159072
83,1,Down,0.0,0.0,0.0
83,2,Left,0.17829450199165847,0.1742,0.004094501991658478
83,3,Right,0.6603053770931575,0.6641,0.0037946229068425152
84,0,Up,0.00933054070444399,0.0094,6.94592955560111e-05
84,1,Down,0.819073864751948,0.8161,0.002973864751947941
84,2,Left,0.1265309910547686,0.1321,0.005569008945231407
84,3,Right,0.045064603488839595,0.0424,0.0026646034888395953
85,0,Up,0.1193671627061369,0.1224,0.003032837293863097
85,1,Down,0.2529641926413049,0.2562,0.0032358073586951086
85,2,Left,0.20285507753259469,0.2004,0.0024550775325946905
